T32,Net disbursements of official development assistance from donors,,,,,
208,Denmark,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),440,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,623",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,109",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,871",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,003",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,566",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,369",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,401",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.55,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.80,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.96,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.81,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.91,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.86,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.85,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.75,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
208,Denmark,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.72,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),10,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),19,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),38,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),34,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),43,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),42,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.08,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.15,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.15,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.19,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
233,Estonia,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),48,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),211,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),388,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),902,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,333",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,635",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,288",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,060",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,054",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.40,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.46,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.55,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.59,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.55,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.44,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
246,Finland,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.41,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,493",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,134",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"8,443",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"10,026",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"12,915",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"10,620",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,039",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,622",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"11,363",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.44,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.61,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.55,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.47,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.50,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
250,France,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.43,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,689",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,942",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,524",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"10,082",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"12,985",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"16,566",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"17,940",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"24,736",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"24,681",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.40,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.47,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.36,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.39,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.42,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.70,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
276,Germany,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.66,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),384,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),508,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),247,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),239,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),369,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),317,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.19,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
300,Greece,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.16,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),29,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),84,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),100,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),114,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),144,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),156,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),199,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),149,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
348,Hungary,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),29,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),40,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),59,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),69,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.18,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.22,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.28,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
352,Iceland,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.29,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
372,Ireland,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),8,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
372,Ireland,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),39,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
372,Ireland,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),153,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
372,Ireland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),719,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
